descriptor,category,subtype,amount,is_debit,merchant_unseen,notes
FOREIGN TRANSACTION FEE,financial,financial/bank_fee,2.40,true,false,
NON-CHASE ATM WITHDRAWAL,financial,financial/atm_cash,100.00,true,true,
CHASE ATM 8842 NY,financial,financial/atm_cash,60.00,true,false,
ATM WITHDRAWAL 03/14,financial,financial/atm_cash,40.00,true,false,
INTEREST CHARGE ON PURCHASES,financial,financial/interest,8.75,true,false,
INTEREST EARNED,financial,financial/interest,1.20,false,true,credit interest earned
FINANCE CHARGE,financial,financial/interest,14.30,true,false,
WEALTHFRONT,financial,financial/investment,500.00,true,true,
ROBINHOOD,financial,financial/investment,250.00,true,false,
COINBASE.COM,financial,financial/investment,120.00,true,false,
VENMO PAYMENT 3920,transfers,transfers/p2p,45.00,true,false,
ZELLE TO JOHN D,transfers,transfers/p2p,80.00,true,false,
CASH APP*MIKE,transfers,transfers/p2p,25.00,true,false,
MOBILE BANKING TRANSFER,transfers,transfers/internal,300.00,true,true,
ONLINE TRANSFER TO SAV,transfers,transfers/internal,500.00,true,false,
INTERNAL ACCOUNT TRANSFER,transfers,transfers/internal,200.00,true,false,
FEDWIRE CREDIT,transfers,transfers/wire,1500.00,false,true,incoming wire credit
OUTGOING WIRE TRANSFER,transfers,transfers/wire,2500.00,true,false,
INTERNATIONAL WIRE 09/12,transfers,transfers/wire,1200.00,true,false,
ACME CORP DIR DEP,income,income/payroll,2450.00,false,true,
GUSTO PAY 220114,income,income/payroll,3100.00,false,false,
ADP PAYROLL DEP,income,income/payroll,2890.00,false,false,
AMAZON.COM REFUND,income,income/refund,37.49,false,false,refund from a shopping merchant
IRS TREAS 310 TAX REF,income,income/refund,840.00,false,false,
STATE OF CA TAX RFD,income,income/refund,220.00,false,true,
MOBILE DEPOSIT,income,income/deposit,500.00,false,false,
CHECK DEPOSIT 1234,income,income/deposit,750.00,false,false,
REMOTE DEPOSIT,income,income/deposit,300.00,false,false,
